objectivesoftheaid;aidamount;categorized_objective;Survival_or_Investment
"Aid for investments in favour of the conservation of cultural and natural heritage located  on agricultural holdings or in forests (Article 36)";582019;"Culture, Heritage & Recreation";Investment/Expansion/Innovation
"Aid for investments in forestry technologies and in processing, in mobilising and in marketing of forest products";1188498;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for investments in infrastructure related to development, modernisation or adaptation of forestry (Article 40)";1787448.24;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for investments in infrastructure related to the development, modernisation or adaptation of forestry";5688302.16;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for investments in new forestry technologies and in processing, mobilising and marketing of forestry products (Article 41)";9527081.760846406;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for knowledge exchange and information actions (Article 21)";6147057.527948149;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Aid for knowledge transfer and information actions (Article 21)";51871142.67248643;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Aid for knowledge transfer and information actions in the agricultural sector";359110.7261554201;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for knowledge transfer and information actions in the forestry sector (Article 38)";5514200;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for land consolidation (Article 15)";6922188.720000001;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for maritime ports (Art. 56b)";1559798132.677104;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for organic farming";18417123;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for participation of producers of agricultural products in quality schemes";161160.4855184432;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for participation of producers of agricultural products in quality schemes (Article 20)";826939;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for prevention and restoration of damage to forests from forest fire, natural disasters, adverse climatic events, diseases, pests and catastrophic events (Article 34)";13198448.6945245;"Agriculture, Fisheries & Rural Development";Survival
"Aid for process and organisational innovation (Art. 29)";283937171.9512479;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Aid for projects awarded a Seal of Excellence quality label (Art.Â 25a)";49186151.1868287;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Aid for promotion measures in favour of agricultural products";19367825.8;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for promotion measures in favour of agricultural products (Article 24)";3181958.844350325;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for regional airports (Art. 56a)";632137141.1495651;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for removal of fallen stock (Article 27(c), (d) or (e))";34115240.67;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for rescuing and restructuring undertakings in difficulty";6200000;"Economic & Regional Development";Survival
"Aid for research and development in the agricultural and forestry sectors (Article 31)";562199052.1822927;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for research and development in the agricultural and forestry sectors (Article 38)";100870826.4789265;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for research and development in the agricultural sector (Article 31)";29930293.42326174;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for research and development in the fishery and aquaculture sector (Art. 30)";7319210.477393722;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for specific forest actions and interventions with the primary objective to contribute to maintaining or to restoring forest ecosystem and biodiversity or the traditional landscape";1133371014.630361;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for sport and multifunctional recreational infrastructures (Art. 55)";1689964914.331662;"Culture, Heritage & Recreation";Investment/Expansion/Innovation
"Aid for start-ups (Art. 22)";693737421.5608673;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for studies and consultancy services on environmental protection and energy matters (Art.Â 49)";1310453;"Environment & Energy";Investment/Expansion/Innovation
"Aid for tangible or intangible investments in agricultural holding linked to primary agricultural production (Article 14)";1004852188.930312;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for the acquisition of new transport vehicles which go beyond Community standards or which increase the level of environmental protection in absence of Community standards (Art. 19)";1219157.861370915;"Environment & Energy";Investment/Expansion/Innovation
"Aid for the costs of prevention, control and eradication of animal diseases and plant pests and aid to make good the damage caused by animal diseases and plant pests";598842907.6611375;"Agriculture, Fisheries & Rural Development";Survival
"Aid for the costs of the prevention, control and eradication of animal diseases and plant pests and aid to make good the damage caused by animal diseases or  plant pests (Article 26)";11162203.91530336;"Agriculture, Fisheries & Rural Development";Survival
"Aid for the employment of workers with disabilities in the form of wage subsidies (Article 33)";1829256283.005651;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for the outermost regions and the smaller Aegean islands";161539836.67;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for the participation of producers of agricultural products in quality schemes (Article 20)";123652;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for the payment of insurance premiums (Article 28)";45469936.67290021;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for the payment of insurance premiums and for financial contributions to mutual funds (Article 28)";16203116.16227634;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for the prevention and restoration of damage to forests from forest fire, natural disasters, adverse climatic events which can be assimilated to natural disaster, other adverse climatic events, plant pests and catastrophic events";16010808.42;"Agriculture, Fisheries & Rural Development";Survival
"Aid for the promotional measures in favour of agricultural products (Article 24)";16139961.83365249;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid for the recruitment of disadvantaged workers in the form of wage subsidies (Art. 40)";16114385.03462655;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid for the recruitment of disadvantaged workers in the form of wage subsidies (Article 32)";46133879.66065157;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid in the form of reductions in environmental taxes under Directive 2003/96/EC (Art. 44)";38941619521.07424;"Environment & Energy";Investment/Expansion/Innovation
"Aid investments improving the resilience and environmental value of forest ecosystems (Article 35)";43275925.75668176;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid schemes for audio-visual works (Art. 54)";3166830645.103684;"Culture, Heritage & Recreation";Investment/Expansion/Innovation
"Aid schemes to make good the damage caused by certain natural disasters (Art. 50)";1202640425.140392;"Economic & Regional Development";Survival
"Aid to SMEs";3601810.92;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid to SMEs for participation in fairs (Art. 19)";19623314.8274213;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid to compensate for losses caused by adverse climatic events which can be assimilated to a natural disaster (Article 25)";341496143.8254297;"Economic & Regional Development";Survival
"Aid to compensate for the damage caused by adverse climatic event which can be assimilated to a natural disaster";68869171.22895463;"Economic & Regional Development";Survival
"Aid to compensate for the damage caused by protected animals";9464171.425240289;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid to first acquisition of a fishing vessel (Article 20)";134447.4597112646;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid to improve energy efficiency and to mitigate the effects of climate change (Article 27)";25677426;"Environment & Energy";Investment/Expansion/Innovation
"Aid to make good the damage caused by adverse climatic events (Fisheries Guidelines point 5.3)";211000;"Agriculture, Fisheries & Rural Development";Survival
"Aid to make good the damage caused by natural disaster in the agricultural sector (Article 30)";2447668.91;"Agriculture, Fisheries & Rural Development";Survival
"Aid to make good the damage caused by natural disasters in the agricultural sector (Article 37)";19670;"Agriculture, Fisheries & Rural Development";Survival
"Aid to make good the damage caused by natural disasters or exceptional occurrences";40200430.22834935;"Economic & Regional Development";Survival
"Aid to promote human capital and social dialogue (Article 18)";2117311.74885721;"Economic & Regional Development";Investment/Expansion/Innovation
"Aid to the livestock sector";50000000;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid to the livestock sector (Article 27(a) or (b))";110067046.8772341;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Aid to the livestock sector and aid for fallen stock (Article 27)";30206887.31439314;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Airport infrastructure or equipment";79779827.97156586;"Economic & Regional Development";Investment/Expansion/Innovation
"Airport operation";51039639.69101723;"Economic & Regional Development";Investment/Expansion/Innovation
"Animal diseases";54693324.73999996;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Animal welfare commitments";146850554.4584747;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Article 13 - Aid for innovation";1337934;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Article 16 - Aid to promote human capital, job creation and social dialogue";10971926.23423476;"Economic & Regional Development";Investment/Expansion/Innovation
"Article 18 - Aid to start-up support for young fishermen";940284.4259132931;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Article 19 - Aid to improve health and safety";51018268.13999999;"Economic & Regional Development";Investment/Expansion/Innovation
"Article 23 - Aid to limit the impact of fishing on the marine environment and adapt fishing to the protection of species";70803;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Article 27 - Aid to added value, product quality and use of unwanted catches";5637586.2;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Article 28 - Aid to fishing ports, landing sites, auction halls and shelters";22684;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Article 30 - Aid for innovation in aquaculture";263919.6348438422;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Article 31 - Aid to productive investments in aquaculture";2701137.8;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Article 32 - Aid to management, relief and advisory services for aquaculture farms";148128.6856670473;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Article 34 - Aid to increase the potential of aquaculture sites";418289.3448982657;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Article 36 - Aid for the conversion to eco-management and audit schemes and organic aquaculture";7858412.670085002;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Article 37 - Aid to aquaculture providing environmental services";8004240.529999999;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Article 39 - Aid for animal health and welfare measures";525740.5302015824;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Article 41 - Aid for marketing measures";33689878.18;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Article 42 - Aid for the processing of fishery and aquaculture products";15713062.71;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Article 44 - Aid to make good the damage caused by natural disasters";482944.65;"Economic & Regional Development";Survival
"Article 45 - Tax exemptions and reductions in accordance with Directive 2003/96/EC";4120000;"Environment & Energy";Investment/Expansion/Innovation
"Broadband infrastructures";2586249856.102024;"Economic & Regional Development";Investment/Expansion/Innovation
"Business start-up aid for non-agricultural activities in rural areas (Article 45)";552745;"Economic & Regional Development";Investment/Expansion/Innovation
"Compensation of damage caused by natural disasters or exceptional occurrences";7690336945.1642;"Economic & Regional Development";Survival
"Compensation of damages caused by natural disaster";107023285.1719006;"Economic & Regional Development";Survival
"Coordination of transport";365728761.4307446;"Economic & Regional Development";Investment/Expansion/Innovation
"Culture";3769173401.520406;"Culture, Heritage & Recreation";Investment/Expansion/Innovation
"Encouraging quality products";77211746.56488357;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Energy";39039774.6;"Environment & Energy";Investment/Expansion/Innovation
"Energy efficiency";374239626.629675;"Environment & Energy";Investment/Expansion/Innovation
"Energy infrastructures";3781589543.645903;"Environment & Energy";Investment/Expansion/Innovation
"Energy saving";8824659.228537839;"Environment & Energy";Investment/Expansion/Innovation
"Environmental aid for the promotion of energy from renewable energy sources (Art. 23)";11068916.81168099;"Environment & Energy";Investment/Expansion/Innovation
"Environmental aid in the form of tax reductions (Art. 25)";5227471639.746787;"Environment & Energy";Investment/Expansion/Innovation
"Environmental protection";112145629035.7144;"Environment & Energy";Investment/Expansion/Innovation
"Execution of an important project of common Europe";9379158456.952164;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Execution of an important project of common European interest";5056240392.673972;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Experimental development (Art. 25(2)(c))";14957373356.47112;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Experimental development (Art. 31.2.c)";7805310;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Feasibility studies (Art. 25(2)(d))";95525421.23899741;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Fisheries";56616655.32700903;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Fisheries and aquaculture";289218061.4910562;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Forestry";91991156.92587002;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Fundamental research (Art. 25(2)(a))";1238828592.352244;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Fundamental research (Art. 31.2.a)";6459457.480899337;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Heritage conservation";5166371;"Culture, Heritage & Recreation";Investment/Expansion/Innovation
"In outermost regions (Art. 15(4))";1952523;"Economic & Regional Development";Investment/Expansion/Innovation
"In sparsely populated areas (Art.Â 15(2))";1077399;"Economic & Regional Development";Investment/Expansion/Innovation
"Industrial research (Art. 25(2)(b))";16540083643.55204;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Industrial research (Art. 31.2.b)";7311654;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Innovation aid for SMEs (Art. 28)";288458563.0272911;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Investment (AGRI)";109497981.9932624;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Investment aid enabling undertakings to go beyond Community standards for environmental protection or increase the level of environmental protection in the absence of Community standards (Art. 18)";597834;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid enabling undertakings to go beyond Union standards for environmental protection or increase the level of environmental protection in the absence of Union standards (Art. 36)";3832138784.604845;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for early adaptation to future Union standards (Art. 37)";48828010.71856906;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for energy efficiency measures (Art. 38)";2977364489.761578;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for energy efficiency measures in buildings (Art. 38a)";2436453;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for energy efficiency measures other than in buildings  (Art. 38)";19440892;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for energy efficiency projects  in buildings in the form of financial instruments (Art. 39)";238217.18;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for energy efficiency projects in buildings (Art. 39)";161526867.2787911;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for energy efficient district heating and cooling (Art. 46)";3447292713.900573;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for energy efficient district heating and/or cooling (Art. 46)";85494841.19357637;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for energy infrastructure (Art. 48)";1209467652.026797;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for environmental protection, including decarbonisation (Art. 36)";46379739.21528353;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for high-efficiency cogeneration (Art. 40)";349992393.0281871;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for local infrastructures (Art. 56)";4222804174.189362;"Economic & Regional Development";Investment/Expansion/Innovation
"Investment aid for publicly accessible recharging or refuelling infrastructure for zero and low emission road vehicles (Art. 36a)";193230309.1648937;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for recharging or refuelling infrastructure (Art. 36a)";27705073.66205957;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for remediation of contaminated sites (Art. 45)";464074168.3298355;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for research infrastructures (Art. 26)";1436218644.956812;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Investment aid for resource efficiency and for supporting the transition towards a circular economy  (Art. 47)";348161;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for testing and experimentation infrastructures (Art. 26a)";992000;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Investment aid for the acquisition of clean vehicles or zero-emission vehicles and for the retrofitting of vehicles (Art. 36b)";143809471.76;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for the promotion of energy from renewable sources (Art. 41)";5201716219.43428;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for the promotion of energy from renewable sources, of renewable hydrogen and of high-efficiency cogeneration (Art.Â 41)";82013674.82432732;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for the remediation of environmental damage, the rehabilitation of natural habitats and ecosystems, the protection or restoration of biodiversity and  the implementation of nature-based solutions for climate change adaptation and mitigation (Art. 45)";10040760.14891336;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid for waste recycling and re-utilisation (Art. 47)";1373087173.999152;"Environment & Energy";Investment/Expansion/Innovation
"Investment aid to SMEs (Art. 17)";2844803467.871519;"Economic & Regional Development";Investment/Expansion/Innovation
"Investment in agricultural holdings";39041257.22770647;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Investment in processing and marketing";70174718.70950048;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Limited amounts of aid to undertakings for participation in European Territorial Cooperation projects (Art. 20a)";2399497.2;"Economic & Regional Development";Investment/Expansion/Innovation
"Livestock sector";2432090.17;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"LÄ«dzekÄ¼i bÅ«tisku ekonomikas problÄ“mu risinÄÅ¡anai";3;"Economic & Regional Development";Survival
"Management, relief and advisory services for aquaculture farms (Art. 32 of Reg. (EU) 1388/2014)";74880;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Natural disasters or exceptional occurrences";108150174.5348071;"Economic & Regional Development";Survival
"Operating aid for the promotion of electricity from renewable sources (Art. 42)";392964324.5754628;"Environment & Energy";Investment/Expansion/Innovation
"Operating aid for the promotion of energy from renewable sources and of renewable hydrogen in small projects and renewable energy communities  (Art.Â 43)";103734.8069935162;"Environment & Energy";Investment/Expansion/Innovation
"Operating aid for the promotion of energy from renewable sources in small scale installation (Art. 43)";779761369.5674385;"Environment & Energy";Investment/Expansion/Innovation
"Other";2692824548.78088;"Economic & Regional Development";Investment/Expansion/Innovation
"Other measures (Fisheries Guidelines point 5.7)";1005119.508386139;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Outermost regions and the Aegean Islands";28000000;"Economic & Regional Development";Investment/Expansion/Innovation
"Promotion of export and internationalisation";5701644.404656284;"Economic & Regional Development";Investment/Expansion/Innovation
"Regional aid - investment aid (Art. 14) - Ad hoc aid";105812652.0138042;"Economic & Regional Development";Investment/Expansion/Innovation
"Regional aid - investment aid (Art. 14) - Scheme";28785876584.84439;"Economic & Regional Development";Investment/Expansion/Innovation
"Regional aid Scheme";13538302;"Economic & Regional Development";Investment/Expansion/Innovation
"Regional development";8089913918.993998;"Economic & Regional Development";Investment/Expansion/Innovation
"Regional development (including territorial cooperation)";1552644963.999166;"Economic & Regional Development";Investment/Expansion/Innovation
"Regional urban development aid (Art. 16)";1855008065.015434;"Economic & Regional Development";Investment/Expansion/Innovation
"Renewable energy";19474476190.67079;"Environment & Energy";Investment/Expansion/Innovation
"Rescuing firms in difficulty";380;"Economic & Regional Development";Survival
"Rescuing undertakings in difficulty";132106679.6919792;"Economic & Regional Development";Survival
"Research and development";2553249397.360001;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Research, development and innovation";2126945730.712483;"Research, Development & Innovation (R&D&I)";Investment/Expansion/Innovation
"Restoration and maintenance of natural pathways, landscape elements and features and natural habitat for animals in the forestry sector";297396873.59;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
"Restructuring firms in difficulty";39948418.29;"Economic & Regional Development";Survival
"Restructuring undertakings in difficulty";359722126.0780282;"Economic & Regional Development";Survival
"Risk and Crisis management (AGRI)";196225232.8572757;"Agriculture, Fisheries & Rural Development";Survival
"Risk capital";38000000;"Economic & Regional Development";Investment/Expansion/Innovation
"Risk finance";14066678;"Economic & Regional Development";Investment/Expansion/Innovation
"Risk finance aid (Art. 21)";701440772.4896218;"Economic & Regional Development";Investment/Expansion/Innovation
"SME aid - Aid for scouting costs (Art. 24)";519950;"Economic & Regional Development";Investment/Expansion/Innovation
"SME aid - Aid to alternative trading platforms specialised in SMEs (Art. 23)";3409209;"Economic & Regional Development";Investment/Expansion/Innovation
"SME investment and employment aid (Art.15)";1202223;"Economic & Regional Development";Investment/Expansion/Innovation
"SMEs";360360227.69;"Economic & Regional Development";Investment/Expansion/Innovation
"Sectoral development";24727150242.71115;"Economic & Regional Development";Investment/Expansion/Innovation
"Sectorial development";10566421835.13275;"Economic & Regional Development";Investment/Expansion/Innovation
"Services of general economic interest";2599137552.4446;"Economic & Regional Development";Investment/Expansion/Innovation
"Services of general economic interest (SGEI)";184848163.2050259;"Economic & Regional Development";Investment/Expansion/Innovation
"Sport and multifunctional recreational infrastructures";160942249;"Culture, Heritage & Recreation";Investment/Expansion/Innovation
"Start-up aid for producer groups and organisations (Article 19)";1614579.5;"Agriculture, Fisheries & Rural Development";Investment/Expansion/Innovation
